T0[0]	T1[0]	T2[0]	T0[1]	T1[1]	T2[1]	T0[2]	T1[2]	T2[2]	T0[10]	T1[10]	T2[10]	T0[11]	T1[11]	T2[11]	T0[12]	T1[12]	T2[12]	T0[13]	T1[13]	T2[13]	T0[14]	T1[14]	T2[14]	T0[15]	T1[15]	T2[15]	T0[16]	T1[16]	T2[16]	T0[17]	T1[17]	T2[17]	T0[18]	T1[18]	T2[18]	T0[19]	T1[19]	T2[19]	T0[20]	T1[20]	T2[20]	T0[21]	T1[21]	T2[21]	T0[22]	T1[22]	T2[22]	T0[23]	T1[23]	T2[23]	T0[24]	T1[24]	T2[24]	T0[25]	T1[25]	T2[25]	T0[26]	T1[26]	T2[26]	T0[27]	T1[27]	T2[27]
a	A	0	α	Α	0	а	А	0	æ	Æ	€	á	Á	□	à	À	░	â	Â	║	あ	ア	†	ä	Ä	□	ã	Ã	□	ぁ	□	□	□	□	□	ă	Ă	□	å	Å	¹	ā	Ā	¼	ą	Ą	□	□	□	□	ȃ	Ȃ	□	□	□	□	ȁ	Ȁ	'□'	NUL	NUL	NUL
b	B	1	β	Β	1	б	Б	1	□	□	£	ば	バ	%	び	ビ	"▒ "	ぶ	ブ	╒	べ	ベ	‡	ぼ	ボ	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	²	□	□	½	□	□	□	□	□	□	‘	‘	‘	□	□	□	□	□	□	SOH	SOH	SOH
c	C	2	γ	Γ	2	в	В	2	□	□	¥	ć	Ć	□	□	□	▓	ĉ	Ĉ	╓	ċ	Ċ	¦	□	□	□	□	□	□	ç	Ç	□	č	Č	□	□	□	□	□	□	³	□	□	¾	□	□	□	□	□	□	’	’	’	□	□	□	□	□	□	STX	STX	STX
d	D	3	δ	Δ	3	г	Г	3	đ	Đ	₩	だ	ダ	|	ぢ	ヂ	█	づ	ヅ	╔	で	デ	□	ど	ド	□	ђ	Ђ	□	џ	Џ	□	ď	Ď	□	ґ	Ґ	□	□	□	□	□	□	□	□	□	□	ḍ	Ḍ	□	□	□	□	□	□	□	□	□	□	ETX	ETX	ETX
e	E	4	ε	Ε	4	д	Д	4	œ	Œ	¢	é	É	□	è	È	│	ê	Ê	╕	ė	Ė	□	ë	Ë	□	え	エ	□	ぇ	□	□	ě	Ě	□	ё	Ё	□	□	□	□	ē	Ē	□	ę	Ę	□	э	Э	□	ȇ	Ȇ	□	»	»	»	ȅ	Ȅ	□	EOT	EOT	EOT
f	F	5	ζ	Ζ	5	е	Е	5	ƒ	ƒ	ƒ	□	□	□	□	□	┤	□	□	╖	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	“	“	“	›	›	›	□	□	□	ENQ	ENQ	ENQ
g	G	6	η	Η	6	ж	Ж	6	ŋ	Ŋ	^	が	ガ	°	ぎ	ギ	┐	ĝ	Ĝ	╗	ġ	Ġ	□	ぐ	グ	□	げ	ゲ	□	ģ	Ģ	□	ご	ゴ	□	ğ	Ğ	□	ѓ	Ѓ	□	□	□	□	□	□	□	□	□	□	”	”	”	«	«	«	□	□	□	ACK	ACK	ACK
h	H	7	θ	Θ	7	з	З	7	□	□	¤	は	ハ	□	ひ	ヒ	└	ĥ	Ĥ	╘	ふ	フ	□	へ	ヘ	□	ほ	ホ	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	ḥ	Ḥ	□	„	„	„	‹	‹	‹	□	□	□	BEL	BEL	BEL
i	I	8	ι	Ι	8	и	И	8	и	И	ª	í	Í	□	ì	Ì	┘	î	Î	╙	い	イ	□	ï	Ï	□	ĩ	Ĩ	□	ぃ	□	□	і	І	□	ї	Ї	□	□	□	□	ī	Ī	□	į	Į	□	□	□	□	ȋ	Ȋ	□	#	#	#	ȉ	Ȉ	□	BS	BS	BS
j	J	9	κ	Κ	9	й	Й	9	ј	Ј	º	□	□	□	□	□	┌	ĵ	Ĵ	╚	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	‚	‚	‚	§	§	§	□	□	□	US	US	US
k	K	{	λ	Λ	{	к	К	{	ќ	Ќ	□	け	カ	□	く	キ	┬	き	ク	╛	か	ケ	□	こ	コ	□	□	ュ	□	ķ	Ķ	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	RS	RS	RS
l	L	}	μ	Μ	}	л	Л	}	ł	Ł	□	ĺ	Ĺ	□	љ	Љ	┴	□	□	╜	□	□	□	□	□	□	□	□	□	ļ	Ļ	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	*	*	*	□	□	□	VT	VT	VT
m	M	[	ν	Ν	[	м	М	[	□	□	‰	ま	マ	□	み	ミ	□	む	ム	╝	め	メ	□	も	モ	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	~	~	~	□	□	□	FF	FF	FF
n	N	]	ξ	Ξ	]	н	Н	]	□	□	÷	ń	Ń	□	な	ナ	├	に	ニ	╞	ぬ	ヌ	□	ね	ネ	□	ñ	Ñ	□	ņ	Ņ	□	ň	Ň	□	の	ノ	□	ん	ン	□	њ	Њ	□	□	□	□	□	□	□	□	□	□	;	;	;	□	□	□	GS	GS	GS
o	O	:	ο	Ο	:	о	О	:	ø	Ø	¬	ó	Ó	□	ò	Ò	─	ô	Ô	╟	お	オ	□	ö	Ö	□	õ	Õ	□	ぉ	□	□	□	□	□	□	□	□	□	□	□	ō	Ō	□	□	□	□	□	□	□	ȏ	Ȏ	□	ő	Ő	□	ȍ	Ȍ	□	SO	SO	SO
p	P	,	π	Π	,	п	П	,	þ	Þ	○	ぱ	パ	□	ぴ	ピ	┼	ぷ	プ	"╠ "	ぺ	ペ	□	ぽ	ポ	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	SI	SI	SI
q	Q	""""	ρ	Ρ	""""	р	Р	""""	□	□	□	□	□	□	□	□	╫	□	□	╡	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	¡	¡	¡	□	□	□	DLE	DLE	DLE
r	R	.	σ	Σ	.	с	С	.	□	□	µ	ŕ	Ŕ	□	ら	ラ	–	り	リ	"╢ "	る	ル	□	れ	レ	□	ろ	ロ	□	ŗ	Ŗ	□	ř	Ř	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	!	!	!	□	□	□	DC1	DC1	DC1
s	S	+	ς	□	+	т	Т	+	ß	ẞ	±	ś	Ś	□	さ	サ	□	ŝ	Ŝ	╣	し	シ	□	す	ス	□	せ	セ	□	ş	Ş	□	š	Š	□	そ	ソ	□	□	□	□	щ	Щ	□	□	□	□	ṣ	Ṣ	□	□	□	□	¿	¿	¿	□	□	□	DC2	DC2	DC2
t	T	=	τ	Τ	=	у	У	=	ð	Ð	≠	た	タ	□	ち	チ	—	つ	ツ	╤	て	テ	□	と	ト	□	っ	□	□	ţ	Ţ	□	ť	Ť	□	ћ	Ћ	□	□	□	□	□	□	□	□	□	□	ṭ	Ṭ	□	□	□	□	?	?	?	□	□	□	DC3	DC3	DC3
u	U	'	υ	Υ	'	ф	Ф	'	ю	Ю	≥	ú	Ú	□	ù	Ù	―	û	Û	╥	う	ウ	□	ü	Ü	□	ũ	Ũ	□	ぅ	□	□	□	□	□	□	□	□	ů	Ů	□	ū	Ū	□	ų	Ų	□	□	□	□	ȗ	Ȗ	□	ű	Ű	□	ȕ	Ȕ	□	DC4	DC4	DC4
v	V	/	φ	Φ	/	х	Х	/	□	□	≤	□	□	□	□	□	⁓	□	□	╦	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	・	・	・	(	(	(	□	□	□	NAK	NAK	NAK
w	W	\	χ	Χ	\	ц	Ц	\	□	□	≡	わ	□	□	ẁ	Ẁ	⸺	ŵ	Ŵ	╧	を	ワ	□	ゎ	ヲ	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	•	•	•	)	)	)	□	□	□	SYN	SYN	SYN
x	X	\t	ψ	Ψ	\t	ч	Ч	\t	□	□	≈	□	□	□	&	&	&	□	□	╨	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	®	®	®	。	。	。	>	>	>	◌	◌	◌	ETB	ETB	ETB
y	Y	\n	ω	Ω	\n	ш	Ш	\n	ы	Ы	∞	ý	Ý	□	ỳ	Ỳ	⸻	ŷ	Ŷ	╩	や	ヤ	□	ÿ	Ÿ	□	ゆ	ユ	□	よ	ヨ	□	ゃ	ャ	□	ゅ	ョ	□	ょ	□	□	є	Є	□	ў	Ў	□	©	©	©	…	…	…	<	<	<	NBSP	NBSP	NBSP	CAN	CAN	CAN
z	Z	\r	□	□	\r	я	Я	\r	ѕ	Ѕ	√	ź	Ź	□	ざ	ザ	□	ẑ	Ẑ	╪	ż	Ż	□	じ	ジ	□	ず	ズ	□	ぜ	ゼ	□	ž	Ž	□	ぞ	ゾ	□	□	□	□	□	□	□	□	□	□	™	™	™	□	□	□	@	@	@	SHY	SHY	SHY	EM	EM	EM
' '	' '	' '	' '	' '	' '	' '	' '	' '	ъ	Ъ	□	◌́	◌́	◌́	◌̀	◌̀	◌̀	◌̂	◌̂	◌̂	◌̇	◌̇	◌̇	◌̈	◌̈	◌̈	◌̃	◌̃	◌̃	◌̧	◌̧	◌̧	◌̌	◌̌	◌̌	◌̆	◌̆	◌̆	◌̊	◌̊	◌̊	◌̄	◌̄	◌̄	◌̨	◌̨	◌̨	◌̣	◌̣	◌̣	◌̑	◌̑	◌̑	◌̋	◌̋	◌̋	◌̏	◌̏	◌̏	SUB	SUB	SUB
_	_	_	_	_	_	_	_	_	Ь	ь	□	´	´	´	`	`	`	ˆ	ˆ	ˆ	˙	˙	˙	¨	¨	¨	˜	˜	˜	¸	¸	¸	ˇ	ˇ	ˇ	˘	˘	˘	˚	˚	˚	¯	¯	¯	˛	˛	˛	·	·	·	□	□	□	˝	˝	˝	" ̏"	"̏ "	"̏ "	ESC	ESC	ESC
-	-	-	-	-	-	-	-	-	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□	□
